Timestamp,Distance,Signal_Strength
2024-10-17 04:10:02,96,3048
2024-10-17 04:10:03,96,3048
2024-10-17 04:20:02,99,2941
2024-10-17 04:20:02,99,3020
2024-10-17 04:20:03,99,3048
2024-10-17 04:30:02,98,2957
2024-10-17 04:30:03,98,3047
2024-10-17 04:30:03,98,3052
2024-10-17 04:40:02,100,2968
2024-10-17 04:40:03,100,3052
2024-10-17 04:40:03,100,3055
2024-10-17 04:50:02,97,2958
2024-10-17 04:50:03,97,3052
2024-10-17 04:50:03,97,3065
2024-10-17 05:00:02,98,2967
2024-10-17 05:00:03,98,3064
2024-10-17 05:00:03,98,3068
2024-10-17 05:10:03,98,2971
2024-10-17 05:10:03,98,3064
2024-10-17 05:10:04,98,3070
2024-10-17 05:20:02,96,2973
2024-10-17 05:20:02,96,3069
2024-10-17 05:20:03,96,3086
2024-10-17 05:30:02,97,2973
2024-10-17 05:30:02,97,3070
2024-10-17 05:30:03,97,3084
2024-10-17 05:40:02,98,2984
2024-10-17 05:40:02,98,3081
2024-10-17 05:40:03,98,3086
2024-10-17 05:50:02,101,2985
2024-10-17 05:50:03,101,3082
2024-10-17 05:50:03,101,3087
2024-10-17 06:00:02,97,2984
2024-10-17 06:00:03,97,3072
2024-10-17 06:00:03,97,3088
2024-10-17 06:10:02,100,2984
2024-10-17 06:10:03,100,3084
2024-10-17 06:10:03,100,3088
2024-10-17 06:20:02,99,2984
2024-10-17 06:20:03,99,3082
2024-10-17 06:20:03,99,3088
2024-10-17 06:30:03,98,2985
2024-10-17 06:30:03,98,3084
2024-10-17 06:30:04,98,3097
2024-10-17 06:40:02,94,2989
2024-10-17 06:40:02,94,3099
2024-10-17 06:40:03,94,3100
2024-10-17 06:50:02,103,2988
2024-10-17 06:50:02,103,3087
2024-10-17 06:50:03,103,3100
2024-10-17 07:00:02,98,2988
2024-10-17 07:00:02,98,3114
2024-10-17 07:00:03,98,3145
2024-10-17 07:10:02,95,1577
2024-10-17 07:10:02,95,1608
2024-10-17 07:10:03,95,1598
2024-10-17 07:20:02,96,1852
2024-10-17 07:20:03,96,1896
2024-10-17 07:20:03,96,1896
2024-10-17 07:30:02,96,1888
2024-10-17 07:30:03,96,1932
2024-10-17 07:30:03,96,1933
2024-10-17 07:40:02,99,1885
2024-10-17 07:40:03,99,1930
2024-10-17 07:40:03,99,1926
2024-10-17 07:50:02,100,1960
2024-10-17 07:50:03,100,2000
2024-10-17 07:50:03,100,1998
2024-10-17 08:00:03,100,2047
2024-10-17 08:00:03,100,2079
2024-10-17 08:00:04,100,2086
2024-10-17 08:10:02,99,2061
2024-10-17 08:10:02,99,2109
2024-10-17 08:10:03,99,2107
2024-10-17 08:20:02,99,2075
2024-10-17 08:20:02,99,2120
2024-10-17 08:20:03,99,2121
2024-10-17 08:30:02,97,2093
2024-10-17 08:30:02,97,2141
2024-10-17 08:30:03,97,2139
2024-10-17 08:40:02,100,2104
2024-10-17 08:40:02,100,2136
2024-10-17 08:40:03,100,2144
2024-10-17 08:50:02,99,2094
2024-10-17 08:50:03,99,2141
2024-10-17 08:50:03,99,2143
2024-10-17 09:00:02,102,2106
2024-10-17 09:00:03,102,2143
2024-10-17 09:00:03,102,2126
2024-10-17 09:10:02,100,2104
2024-10-17 09:10:03,100,2152
2024-10-17 09:10:03,100,2152
2024-10-17 09:20:02,101,2094
2024-10-17 09:20:03,101,2141
2024-10-17 09:20:03,101,2141
